baseline,ci_high,ci_low,difference_proposed_minus_baseline,favorable_direction,metric,model_count,proposed,proposed_better_model_count
nn,-0.001988459721126059,-0.005724989936378886,-0.003850382745728617,negative,normalized_rmse,20,neural_bvi,16
nn,-0.0005045976615401663,-0.02523285507180894,-0.013135075558079915,negative,epsilon_mae,20,neural_bvi,12
nn,-0.009944740439144277,-0.017073847431068625,-0.013436572688321274,negative,data_misfit,20,neural_bvi,19
nn,46.713208840390045,41.610182316601275,44.246236220995584,positive,wall_seconds,20,neural_bvi,20
nn,36.0,36.0,36.0,positive,physics_evaluations,20,neural_bvi,20
mc_dropout,-0.002070116935062368,-0.005520585463222321,-0.0037769633281082016,negative,normalized_rmse,20,neural_bvi,16
mc_dropout,-0.00229040178158479,-0.026041365931369614,-0.01418116973417308,negative,epsilon_mae,20,neural_bvi,13
mc_dropout,-0.009607701081161699,-0.016513551430155836,-0.012967675055066746,negative,data_misfit,20,neural_bvi,19
mc_dropout,-0.00934845191401967,-0.014305419239527236,-0.011779891631362959,negative,crps,20,neural_bvi,20
mc_dropout,0.031083774566650416,-0.004670149485270176,0.011553700764973973,positive,calibrated_coverage_95,20,neural_bvi,9
mc_dropout,0.0031007995605468676,-0.020632085164388025,-0.007829538981119792,negative,calibrated_coverage_error,20,neural_bvi,11
mc_dropout,-0.030873802325249094,-0.051616557722338585,-0.04104221088562688,negative,calibrated_mpiw_95,20,neural_bvi,20
mc_dropout,-0.0009108444996488624,-0.002639521131997571,-0.001795024556158859,negative,calibrated_gaussian_crps,20,neural_bvi,16
mc_dropout,-0.12430508588614868,-1.130544717458619,-0.5225938645965595,negative,calibrated_gaussian_nll,20,neural_bvi,17
mc_dropout,0.05956331508125878,-0.06554868684506884,-0.0026658092907802327,positive,std_error_spearman,20,neural_bvi,10
mc_dropout,0.000630465646940341,-0.0025436363982068136,-0.0009428234072669055,negative,ause,20,neural_bvi,13
mc_dropout,0.058665145318652225,0.030352719995385906,0.04398971028025376,positive,event_auroc,20,neural_bvi,20
mc_dropout,0.09347031803886349,0.03967381500541518,0.06636800694166808,positive,event_auprc,20,neural_bvi,19
mc_dropout,0.0022740046788817616,0.0004795460661924963,0.0014128613559598172,negative,event_brier,20,neural_bvi,5
mc_dropout,46.437044792373975,41.34864685078461,43.975468305746716,positive,wall_seconds,20,neural_bvi,20
mc_dropout,36.0,36.0,36.0,positive,physics_evaluations,20,neural_bvi,20
deep_ensemble,-0.00010086348557661089,-0.0007668006459500723,-0.00040768290833568947,negative,normalized_rmse,20,neural_bvi,15
deep_ensemble,0.000994936757099634,-0.005295875674403175,-0.0019214299690897302,negative,epsilon_mae,20,neural_bvi,11
deep_ensemble,-0.0006545357778668431,-0.0034920271392911667,-0.0019246575733025879,negative,data_misfit,20,neural_bvi,18
deep_ensemble,-0.004918542339603918,-0.009348424676851564,-0.007126199210206255,negative,crps,20,neural_bvi,20
deep_ensemble,0.01747972488403321,-0.00894807815551755,0.0038490295410156306,positive,calibrated_coverage_95,20,neural_bvi,11
deep_ensemble,0.0058303883870442635,-0.01206279500325521,-0.003274993896484379,negative,calibrated_coverage_error,20,neural_bvi,12
deep_ensemble,-0.0743282632633774,-0.10940756359144589,-0.0915046984292153,negative,calibrated_mpiw_95,20,neural_bvi,20
deep_ensemble,-0.0016729105833538937,-0.003224413684360269,-0.0024177320673396565,negative,calibrated_gaussian_crps,20,neural_bvi,18
deep_ensemble,-0.13387386258916337,-1.162696287604946,-0.5048096279751398,negative,calibrated_gaussian_nll,20,neural_bvi,19
deep_ensemble,0.06943623783737711,-0.05205810937179147,0.009860039600216234,positive,std_error_spearman,20,neural_bvi,12
deep_ensemble,0.000641294444942091,-0.0023946024738590453,-0.0008487954704345429,negative,ause,20,neural_bvi,11
deep_ensemble,0.04135182975242726,0.01270539250057974,0.02590425639803508,positive,event_auroc,20,neural_bvi,16
deep_ensemble,0.03174106430512898,0.0070361561311881125,0.01922636122276502,positive,event_auprc,20,neural_bvi,16
deep_ensemble,0.003421199984988197,0.0020110708891724546,0.00268861790932715,negative,event_brier,20,neural_bvi,0
deep_ensemble,46.63058787832657,41.53646492203077,44.16634313265482,positive,wall_seconds,20,neural_bvi,20
deep_ensemble,36.0,36.0,36.0,positive,physics_evaluations,20,neural_bvi,20
residual_map,-0.0024217067277413607,-0.0062186790396479745,-0.0043005743304547935,negative,normalized_rmse,20,neural_bvi,16
residual_map,-0.0034447110419023306,-0.02973589140301604,-0.016715792307112246,negative,epsilon_mae,20,neural_bvi,13
residual_map,-0.007099196589551869,-0.01387164618354291,-0.010363000320891541,negative,data_misfit,20,neural_bvi,19
residual_map,37.80833209604023,33.62084034651518,35.78102024793624,positive,wall_seconds,20,neural_bvi,20
residual_map,30.0,30.0,30.0,positive,physics_evaluations,20,neural_bvi,20
residual_laplace,-0.002384410324176216,-0.006229507693356505,-0.004288979452813608,negative,normalized_rmse,20,neural_bvi,16
residual_laplace,-0.004342613717815122,-0.03126746608169512,-0.01803423926492385,negative,epsilon_mae,20,neural_bvi,13
residual_laplace,-0.008142087433176744,-0.014786565519558887,-0.011361517757177355,negative,data_misfit,20,neural_bvi,19
residual_laplace,-0.0019192419536209857,-0.0049727346315760175,-0.0033883392396798855,negative,crps,20,neural_bvi,17
residual_laplace,0.014079004923502596,-0.013046054840087877,-0.00019632975260416296,positive,calibrated_coverage_95,20,neural_bvi,13
residual_laplace,0.01015173721313476,-0.011930461883544933,0.0004041544596354057,negative,calibrated_coverage_error,20,neural_bvi,6
residual_laplace,-0.12595263174186322,-0.16343621471806202,-0.14519823994466835,negative,calibrated_mpiw_95,20,neural_bvi,20
residual_laplace,-0.004800854609410289,-0.007874652994760116,-0.006329077691241539,negative,calibrated_gaussian_crps,20,neural_bvi,20
residual_laplace,-0.18685202408496043,-0.34221035445414577,-0.26366392228309066,negative,calibrated_gaussian_nll,20,neural_bvi,19
residual_laplace,0.1571751274111726,0.021633582823696308,0.0881736569556513,positive,std_error_spearman,20,neural_bvi,14
residual_laplace,-0.0026051477519391224,-0.0074413881497168,-0.004938631144523485,negative,ause,20,neural_bvi,16
residual_laplace,0.041052597954636026,0.009457403942278397,0.025003450010322913,positive,event_auroc,20,neural_bvi,17
residual_laplace,0.09487965184935185,0.024857945830276965,0.0608570486890607,positive,event_auprc,20,neural_bvi,18
residual_laplace,-0.0006209275879276295,-0.002251890966823945,-0.0014216881555815537,negative,event_brier,20,neural_bvi,16
residual_laplace,20.19229264159997,18.248706985116005,19.264330697059627,positive,wall_seconds,20,neural_bvi,20
residual_laplace,6.0,6.0,6.0,positive,physics_evaluations,20,neural_bvi,20
